行の説明	N	駅名	発	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188
渋里1	53	渋里	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ		23:21							6:33	6:58	7:16	7:41	7:58	8:22	8:41	9:05	9:14	ﾚ	10:14	ﾚ	11:14	12:07	12:14	ﾚ	13:14	ﾚ	14:14	ﾚ	15:14	15:41	15:58	16:22	16:41	16:58	17:22	17:41	17:58	18:22	18:53	19:07	ﾚ	ﾚ	20:14	ﾚ	21:44	22:24																																																																																														
荒里1	52	荒里	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ		23:31							6:43	7:11	7:26	ﾚ	8:11	8:32	8:54	ﾚ	9:24	10:13	10:24	ﾚ	11:24	ﾚ	12:24	13:11	13:24	ﾚ	14:24	15:11	15:24	ﾚ	16:11	16:32	ﾚ	17:11	17:32	ﾚ	18:11	18:32	ﾚ	19:17	ﾚ	20:16	20:24	ﾚ	21:54	22:34																																																																																														
実栗温泉1	51	実栗温泉	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ		23:41							6:53	7:21	7:36	ﾚ	8:21	8:45	9:04	ﾚ	9:34	ﾚ	10:34	11:17	11:34	ﾚ	12:34	ﾚ	13:34	14:19	14:34	ﾚ	15:34	ﾚ	16:21	16:45	ﾚ	17:21	17:45	ﾚ	18:21	18:45	ﾚ	19:27	19:34	ﾚ	20:34	21:37	22:04	22:44																																																																																														
岩口上0	50	岩口	着	6:41	7:04	7:21	7:49	8:04	8:21	8:49	9:04	9:19	9:51		10:16	10:51		11:16	11:51		12:16	12:51	13:16	13:51		14:16	14:51	15:16	15:49		16:04	16:21	16:49	17:04	17:21	17:49	18:04		18:21	18:49	19:04		19:21	19:51		20:16	20:51		21:36		22:21		23:48							7:00	7:28	7:45	8:00	8:28	8:54	9:11	9:26	9:41	10:28	10:41	11:26	11:41	12:28	12:41	13:26	13:41	14:28	14:41	15:26	15:41	16:00	16:28	16:54	17:00	17:28	17:54	18:00	18:28	18:54	19:12	19:36	19:41	20:31	20:41	21:46	22:11	22:51																																																																																														
種別20																																																											たに			たに			たに		たに		たに		たに		たに		たに		たに		たに				たに			たに			たに		たに		たに		たに									のば		のば		のば								のば		のば		のば			のば		のば	のば	のば																																																																
両数20																																																											6			6			6		6		6		6		6		6		6		6				6			6			6		6		6		6									6		6		6								6		6		6			6		6	6	6																																																																
始発20																																																											谷田			谷田			谷田		谷田		谷田		谷田		谷田		谷田		谷田		谷田				谷田			谷田			谷田		谷田		谷田		谷田									谷田		谷田		谷田								谷田		谷田		谷田			谷田		谷田	谷田	谷田																																																																
終着20																																																											明島			明島			明島		明島		明島		明島		明島		明島		明島		明島				明島			明島			明島		明島		明島		明島									橋掛		橋掛		岩口								橋掛		橋掛		橋掛			橋掛		橋掛	岩口	岩口																																																																
谷田1	67	谷田	発	||	||	||	||	||	||	||	||	||	||		||	||		||	||		||	||	||	||		||	||	||	||		||	||	||	||	||	||	||		||	||	||		||	||		||	||		||		||								6:10	||	||	6:54	||	||	8:10		8:35	||	9:37	||	10:35	||	11:33	||	12:35	||	13:37	||	14:35	||	||	||	16:06	||	||	17:03	||	||	18:06	||	18:45	||	19:40	||	20:51	||	||							6:35		7:35		8:58								15:40		16:36		17:40			19:20		20:25	21:51	22:55																																																																
間狩1	66	間狩	発	||	||	||	||	||	||	||	||	||	||		||	||		||	||		||	||	||	||		||	||	||	||		||	||	||	||	||	||	||		||	||	||		||	||		||	||		||		||								ﾚ	||	||	7:04	||	||	ﾚ		8:45	||	9:47	||	10:45	||	11:43	||	12:45	||	13:47	||	14:45	||	||	||	16:16	||	||	17:13	||	||	18:16	||	18:55	||	19:50	||	21:01	||	||							6:45		7:45		9:08								15:50		16:46		17:50			19:30		20:35	22:01	23:05																																																																
広竹1	65	広竹	発	||	||	||	||	||	||	||	||	||	||		||	||		||	||		||	||	||	||		||	||	||	||		||	||	||	||	||	||	||		||	||	||		||	||		||	||		||		||								6:28	||	||	7:16	||	||	8:28		8:57	||	9:59	||	10:57	||	11:55	||	12:57	||	13:59	||	14:57	||	||	||	16:28	||	||	17:25	||	||	18:28	||	19:07	||	20:02	||	21:13	||	||							6:57		7:57		9:20								16:02		16:58		18:02			19:42		20:47	22:13	23:17																																																																
林杉滝1	64	林杉滝	発	||	||	||	||	||	||	||	||	||	||		||	||		||	||		||	||	||	||		||	||	||	||		||	||	||	||	||	||	||		||	||	||		||	||		||	||		||		||								ﾚ	||	||	ﾚ	||	||	ﾚ		ﾚ	||	ﾚ	||	ﾚ	||	12:05	||	ﾚ	||	ﾚ	||	ﾚ	||	||	||	ﾚ	||	||	ﾚ	||	||	ﾚ	||	ﾚ	||	ﾚ	||	21:23	||	||							7:07		8:07		9:30								ﾚ		17:08		ﾚ			19:52		ﾚ	ﾚ	ﾚ																																																																
葉藪1	63	葉藪	発	||	||	||	||	||	||	||	||	||	||		||	||		||	||		||	||	||	||		||	||	||	||		||	||	||	||	||	||	||		||	||	||		||	||		||	||		||		||								ﾚ	||	||	7:33	||	||	ﾚ		9:14	||	10:16	||	11:14	||	12:16	||	13:14	||	14:16	||	15:14	||	||	||	ﾚ	||	||	17:42	||	||	ﾚ	||	19:24	||	20:19	||	21:34	||	||							7:18		8:18		9:41								16:19		17:19		18:19			20:03		21:04	22:30	23:34																																																																
岩口下0	50	岩口	着	||	||	||	||	||	||	||	||	||	||		||	||		||	||		||	||	||	||		||	||	||	||		||	||	||	||	||	||	||		||	||	||		||	||		||	||		||		||								6:50	||	||	7:41	||	||	8:50		9:22	||	10:24	||	11:22	||	12:24	||	13:22	||	14:24	||	15:22	||	||	||	16:50	||	||	17:50	||	||	18:50	||	19:32	||	20:27	||	21:42	||	||							7:26		8:26		9:49								16:27		17:27		18:27			20:11		21:12	22:38	23:42																																																																
種別11				みや	みや	みや	みや	みや	みや	みや	みや	みや	みや		みや	みや		みや	みや		みや	みや	みや	みや		みや	みや	みや	みや		みや	みや	みや	みや	みや	みや	みや		みや	みや	みや		みや	みや		みや	みや		みや		みや							わか	わか	わか	わか	わか	わか	わか	わか		わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	すず	すず	すず	すず	すず	すず	のば	すず	のば	すず		すず	すず	すず	すず	すず	すず	すず	のば	すず	のば	すず	のば	すず	すず	のば	すず	のば			いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	いぶ	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた	ほた			こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや	こや
種別12									つば			つば			みや			みや			みや		みや				みや		つば			みや			みや				みや				みや			みや			みや		つば								たに			たに			たに		たに		たに		たに		たに		たに		たに		たに				たに			たに			たに		たに		たに		たに																																																																																																
種別13															みや			みや			みや		みや				みや					みや			みや				みや				つば			みや			みや																																																																																																																																														
両数10				17	17	17	17	17	17	17	17	17	17		17	17		17	17		17	17	17	17		17	17	17	17		17	17	17	17	17	17	17		17	17	17		17	17		17	17		17		17							16	16	16	16	16	16	16	16		16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	6	16	6	16		16	16	16	16	16	16	16	6	16	6	16	6	16	16	6	16	6			16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16			16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
始発11				宝川	船尻	宝川	船尻	宝川	船尻	船尻	宝川	船尻	船尻		鶴原	船尻		鶴原	船尻		鶴原	船尻	鶴原	船尻		船尻	鶴原	船尻	船尻		宝川	鶴原	船尻	宝川	鶴原	船尻	宝川		鶴原	船尻	宝川		鶴原	船尻		鶴原	船尻		鶴原		船尻							岩口	岩口	宝川	宝川	船尻	宝川	船尻	宝川		船尻	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	宝川	宝川	宝川	船尻	橋掛	橋掛	橋掛	豊石	橋掛	岩口	谷田	岩口	谷田	岩口		岩口	岩口	岩口	岩口	岩口	岩口	岩口	谷田	岩口	谷田	岩口	谷田	岩口	岩口	谷田	岩口	谷田			塩野	石鳥	石鳥	石鳥	石鳥	塩野	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	塩野	石鳥	塩野	塩野	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	石鳥	鳴谷	鳴谷	石鳥	塩野	塩野	塩野	石鳥	塩野	塩野	塩野	塩野	塩野	塩野	石鳥	塩野	塩野	塩野	塩野	塩野	石鳥	石鳥	塩野			茂山	茂山	茂山	茂山	茂山	湯加土	茂山	茂山	湯加土	茂山	茂山	茂山	茂山	茂山	茂山	茂山	茂山
始発12									布坂			布坂			扇崎			扇崎			扇崎		扇崎				扇崎		布坂			扇崎			扇崎				扇崎				扇崎			扇崎			扇崎		布坂								谷田			谷田			谷田		谷田		谷田		谷田		谷田		谷田		谷田		谷田				谷田			谷田			谷田		谷田		谷田		谷田																																																																																																
始発13															船尻			船尻			船尻		船尻				船尻					船尻			船尻				船尻				布坂			船尻			船尻																																																																																																																																														
終着10				明島	明島	明島	明島	明島	明島	明島	明島	明島	明島		明島	明島		明島	明島		明島	明島	明島	明島		明島	明島	明島	明島		明島	明島	明島	明島	明島	明島	明島		明島	明島	明島		明島	明島		明島	明島		明島		明島							明島	明島	明島	明島	明島	明島	明島	明島		明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	橋掛	明島	橋掛	明島		明島	明島	明島	明島	明島	明島	明島	橋掛	明島	橋掛	明島	橋掛	明島	明島	橋掛	明島	橋掛			明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	橋掛	明島	橋掛	明島	橋掛	明島	明島	明島	橋掛			明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島
岩口1	50	岩口	発	6:43	7:06	7:23	7:51	8:06	8:23	8:51	9:06	9:21	9:53		10:18	10:53		11:18	11:53		12:18	12:53	13:18	13:53		14:18	14:53	15:18	15:51		16:06	16:23	16:51	17:06	17:23	17:51	18:06		18:23	18:51	19:06		19:23	19:53		20:18	20:53		21:38		22:23							6:09	6:56	7:09	7:30	7:47	8:09	8:30	8:56		9:28	9:43	10:30	10:43	11:28	11:43	12:30	12:43	13:28	13:43	14:30	14:43	15:28	15:43	16:09	16:30	16:56	17:09	17:30	17:56	18:09	18:30	18:56	19:14	19:38	19:43	20:33	20:43	21:48	22:13	22:53						6:46	7:33	7:53	8:33	8:46		9:56	10:56	11:56	12:56	13:56	14:56	15:54	16:33	16:46	17:33	17:46	18:33	18:46	19:56	20:13	20:58	21:14																																																																		
永石高原1	49	永石高原	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							6:20	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	23:04						6:57	7:44	8:04	8:44	9:00		10:07	11:07	12:07	13:07	14:07	15:07	16:05	16:44	17:00	17:44	18:00	18:44	19:00	20:07	20:27	21:09	21:25																																																																		
豊石1	48	豊石	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							6:30	ﾚ	7:27	7:48	ﾚ	8:27	8:48	ﾚ		9:46	10:01	ﾚ	11:01	11:46	12:01	ﾚ	13:01	13:46	14:01	ﾚ	15:01	15:46	16:01	16:27	16:48	ﾚ	17:27	17:48	ﾚ	18:27	18:48	ﾚ	19:32	19:56	20:01	20:51	21:01	22:06	22:31	23:14				6:00		7:07	7:54	8:14	8:54	9:14		10:17	11:17	12:17	13:17	14:17	15:17	16:15	16:54	17:14	17:54	18:14	18:54	19:14	20:17	20:37	21:19	21:35																																																																		
稲守1	47	稲守	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							6:40	ﾚ	7:37	7:58	ﾚ	8:37	8:58	ﾚ		ﾚ	10:14	ﾚ	11:14	ﾚ	12:14	ﾚ	13:14	ﾚ	14:14	ﾚ	15:14	ﾚ	16:14	16:37	16:58	ﾚ	17:37	17:58	ﾚ	18:37	18:58	ﾚ	19:45	ﾚ	20:14	ﾚ	21:14	ﾚ	22:44	23:24				6:10		7:20	8:04	8:24	9:04	9:24		10:27	11:27	12:27	13:27	14:27	15:27	16:28	17:04	17:24	18:04	18:24	19:04	19:24	20:27	20:47	21:29	21:45																																																																		
刈丘1	46	刈丘	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							6:48	ﾚ	7:48	ﾚ	ﾚ	8:48	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	11:22	ﾚ	ﾚ	ﾚ	13:22	ﾚ	ﾚ	ﾚ	15:22	ﾚ	ﾚ	16:48	ﾚ	ﾚ	17:48	ﾚ	ﾚ	18:48	ﾚ	ﾚ	19:53	ﾚ	20:22	ﾚ	ﾚ	ﾚ	22:52	23:32				6:18		7:28	8:17	8:35	9:12	9:35		10:35	11:35	12:35	13:35	14:35	15:35	16:36	17:12	17:35	18:12	18:35	19:12	19:35	20:35	20:55	21:37	21:53																																																																		
米戸1	45	米戸	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							6:56	ﾚ	7:56	ﾚ	ﾚ	8:56	ﾚ	ﾚ		ﾚ	10:26	ﾚ	ﾚ	ﾚ	12:26	ﾚ	ﾚ	ﾚ	14:26	ﾚ	ﾚ	ﾚ	16:26	16:56	ﾚ	ﾚ	17:56	ﾚ	ﾚ	18:56	ﾚ	ﾚ	20:01	ﾚ	ﾚ	ﾚ	21:26	ﾚ	ﾚ	23:40				6:26		7:39	8:25	8:43	9:23	9:43		10:43	11:43	12:43	13:43	14:43	15:43	16:44	17:23	17:43	18:23	18:43	19:23	19:43	20:43	21:03	21:45	22:01																																																																		
橋掛下0	44	橋掛	着	ﾚ	7:44	ﾚ	ﾚ	8:44	ﾚ	ﾚ	9:44	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		16:44	ﾚ	ﾚ	17:44	ﾚ	ﾚ	18:44		ﾚ	ﾚ	19:44		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							7:04	7:34	8:04	8:14	8:25	9:04	9:14	9:34		10:09	10:34	11:09	11:34	12:09	12:34	13:09	13:34	14:09	14:34	15:09	15:34	16:09	16:34	17:04	17:14	17:34	18:04	18:14	18:34	19:04	19:14	19:34	20:09	20:19	20:34	21:14	21:34	22:29	23:04	23:48				6:34		7:47	8:33	8:51	9:31	9:51		10:51	11:51	12:51	13:51	14:51	15:51	16:52	17:31	17:51	18:31	18:51	19:31	19:51	20:51	21:11	21:53	22:09																																																																		
橋掛1	44	橋掛	発	ﾚ	7:45	ﾚ	ﾚ	8:45	ﾚ	ﾚ	9:45	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		16:45	ﾚ	ﾚ	17:45	ﾚ	ﾚ	18:45		ﾚ	ﾚ	19:45		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							7:05	7:35	8:05	8:15	8:30	9:05	9:15	9:35		10:10	10:35	11:10	11:35	12:10	12:35	13:10	13:35	14:10	14:35	15:10	15:35	16:10	16:35	17:05	17:15	17:35	18:05	18:15	18:35	19:05	19:15	19:35	20:10	20:20	20:35	21:15	21:35	22:30	23:05	=	6:00	6:12	6:24	6:35	7:00	7:48	=	8:52	=	9:52		10:54	11:54	12:54	13:54	14:54	15:54	16:53	=	17:52	=	18:52	=	19:52	20:54	=	21:54	=			ﾚ	8:20	ﾚ	9:20	ﾚ	10:20	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	16:20	ﾚ	17:20	ﾚ	18:20	ﾚ	19:20	ﾚ	ﾚ	ﾚ	ﾚ	7:40	8:00	8:40	9:00	9:30	10:30	11:30	12:30	13:30	14:30	15:30	16:40	17:40	=	18:40	=	19:40	=	20:30	21:30	22:35	=			6:47	7:16	8:17	9:22	10:12	11:12	12:12	13:12	14:12	15:12	16:13	17:11	18:11	19:11	20:12	21:07	22:17
水方広原1	43	水方広原	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:10	6:22	6:34	6:45	7:14	8:04		9:04		10:04		11:04	12:04	13:04	14:04	15:04	16:04	17:05		18:05		19:05		20:04	21:04		22:04				ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ		ﾚ		ﾚ	ﾚ	ﾚ				6:57	7:29	8:29	9:34	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	16:23	17:23	18:23	19:23	ﾚ	ﾚ	ﾚ
徳野1	42	徳野	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:20	6:32	6:44	6:55	7:24	8:16		9:16		10:14		11:14	12:14	13:14	14:14	15:14	16:14	17:15		18:15		19:15		20:14	21:14		22:14				ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ		ﾚ		ﾚ	ﾚ	ﾚ				7:07	7:39	8:41	9:46	10:28	11:28	12:28	13:28	14:28	15:28	16:36	17:36	18:36	19:36	20:28	21:23	22:33
田野1	41	田野	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ							ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:29	6:41	6:53	7:04	7:33	8:28		9:28		10:23		11:23	12:23	13:23	14:23	15:23	16:23	17:28		18:28		19:28		20:23	21:23		22:23				ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ		ﾚ		ﾚ	ﾚ	ﾚ				7:16	7:48	8:53	9:58	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	16:48	17:48	18:48	19:48	ﾚ	ﾚ	ﾚ
歌宮0	3	歌宮	着	7:49	8:14	8:24	8:54	9:14	9:24	9:54	10:14	10:24	10:54		11:19	11:54		12:19	12:54		13:19	13:54	14:19	14:54		15:19	15:54	16:19	16:54		17:14	17:24	17:54	18:14	18:24	18:54	19:14		19:24	19:54	20:14		20:24	20:54		21:19	21:54		22:39		23:24							7:34	8:04	8:34	8:44	8:59	9:34	9:44	10:04		10:39	11:04	11:39	12:04	12:39	13:04	13:39	14:04	14:39	15:04	15:39	16:04	16:39	17:04	17:34	17:44	18:04	18:34	18:44	19:04	19:34	19:44	20:04	20:39	20:49	21:04	21:44	22:04	22:59	23:34		6:40	6:52	7:04	7:15	7:44	8:39		9:39		10:34		11:34	12:34	13:34	14:34	15:34	16:34	17:39		18:39		19:39		20:34	21:34		22:34				8:19	8:49	9:19	9:49	10:19	10:49	11:14	12:14	13:14	14:14	15:14	16:14	16:49	17:19	17:49	18:19	18:49	19:19	19:49	20:19	21:14	22:14	23:14	8:09	8:29	9:09	9:29	9:59	10:59	11:59	12:59	13:59	14:59	15:59	17:09	18:09		19:09		20:09		20:59	21:59	23:04				7:27	7:59	9:04	10:09	10:44	11:44	12:44	13:44	14:44	15:44	16:59	17:59	18:59	19:59	20:44	21:39	22:49
