行の説明	N	駅名	発	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189
間狩1	66	間狩	発								||		||	||	||	||		||	||	||	||	||	||	||	||		||	||	||		||	||		||	||	||		||		||	||		||		||	||	||		||	||	||	||	||	||	||	||	||	||		||	||	ﾚ	||	||	ﾚ	||	||	10:55	||	11:53	||	12:59	||	13:58	||	14:55	||	15:58	||	16:52	||	17:58	||	||	18:55	||	||	19:56	||	||	20:52	||	22:02	||	22:58	||	23:49		6:41	7:41	8:41		9:34		10:30							16:36		17:40		18:29		19:33		20:29																																																																								
谷田0	67	谷田	着								||		||	||	||	||		||	||	||	||	||	||	||	||		||	||	||		||	||		||	||	||		||		||	||		||		||	||	||		||	||	||	||	||	||	||	||	||	||		||	||	8:57	||	||	9:57	||	||	11:04	||	12:02	||	13:08	||	14:07	||	15:04	||	16:07	||	17:01	||	18:07	||	||	19:04	||	||	20:05	||	||	21:01	||	22:11	||	23:07	||	23:58		6:50	7:50	8:50		9:43		10:39							16:45		17:49		18:38		19:42		20:38																																																																								
種別31								みや			みや		みや	みや	みや	みや		みや	みや	みや	みや	みや	みや	みや	みや		みや	みや	みや		みや	みや		みや	みや	みや		みや		みや	みや		みや		みや	みや	みや		みや	みや	みや	みや	みや	みや	みや	みや	みや	みや	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか																																																																																																
種別32								みや			みや			みや		つば				みや			つば	みや				みや				みや			みや			みや			みや				みや						みや				つば																																																																																																																																									
種別33								つば			みや			みや						みや				みや				みや				みや			みや			みや			つば				みや						みや																																																																																																																																													
両数30								17			17		17	17	17	17		17	17	17	17	17	17	17	17		17	17	17		17	17		17	17	17		17		17	17		17		17	17	17		17	17	17	17	17	17	17	17	17	17	10	10	16	10	16	16	10	16	16	10	16	10	16	10	16	10	16	10	16	10	16	10	16	10	16	16	10	16	16	10	16	16	10	16	10	16	10	16																																																																																																
始発30								岩口			明島		明島	明島	明島	明島		明島	明島	明島	明島	明島	明島	明島	明島		明島	明島	明島		明島	明島		明島	明島	明島		明島		明島	明島		明島		明島	明島	明島		明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	岩口	橋掛	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島																																																																																																
終着31								鶴原			鶴原		船尻	鶴原	宝川	船尻		船尻	宝川	鶴原	船尻	宝川	船尻	鶴原	船尻		船尻	鶴原	船尻		船尻	鶴原		船尻	鶴原	船尻		鶴原		船尻	鶴原		船尻		鶴原	宝川	船尻		船尻	宝川	鶴原	宝川	船尻	船尻	船尻	宝川	船尻	宝川	船尻	船尻	宝川	船尻	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川																																																																																																
終着32								扇崎			扇崎			扇崎		布坂				扇崎			布坂	扇崎				扇崎				扇崎			扇崎			扇崎			扇崎				扇崎						扇崎				布坂																																																																																																																																									
終着33								布坂			船尻			船尻						船尻				船尻				船尻				船尻			船尻			船尻			布坂				船尻						船尻																																																																																																																																													
岩口下1	50	岩口	発					6:01			7:27		7:57	8:19	8:32	8:57		9:19	9:32	9:57	10:19	10:32	10:59	11:29	11:57		12:29	12:57	13:29		13:57	14:29		14:57	15:29	15:57		16:29		16:57	17:29		17:57		18:19	18:32	18:57		19:19	19:32	19:57	20:19	20:32	20:57	21:32	21:57	22:32	23:27	7:01	7:31	8:00	8:15	8:50	9:11	9:15	9:50	10:11	10:15	10:55	11:13	12:00	12:15	13:00	13:18	14:00	14:15	15:00	15:18	16:00	16:15	17:00	17:18	17:50	18:11	18:15	18:50	19:11	19:16	19:50	20:11	20:15	21:00	21:18	22:00	22:18	22:54																																																																																																
実栗温泉1	51	実栗温泉	発					6:09			ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:09	7:39	8:08	8:26	8:58	ﾚ	9:26	9:58	ﾚ	10:26	11:06	ﾚ	12:08	ﾚ	13:08	13:26	14:08	ﾚ	15:08	ﾚ	16:08	16:23	17:08	ﾚ	17:58	ﾚ	18:26	18:58	19:19	19:27	ﾚ	ﾚ	20:26	21:08	21:26	22:08	ﾚ	23:02																																																																																																
荒里1	52	荒里	発					6:19			ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:19	7:49	8:18	8:36	9:11	ﾚ	9:36	10:11	ﾚ	10:36	11:16	ﾚ	12:18	12:29	13:18	ﾚ	14:18	ﾚ	15:18	15:32	16:18	ﾚ	17:18	ﾚ	18:11	ﾚ	18:36	19:11	ﾚ	19:37	20:04	ﾚ	20:36	21:18	ﾚ	22:18	22:32	23:12																																																																																																
渋里1	53	渋里	発					6:29			ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:29	7:59	8:28	8:46	9:21	9:31	9:46	10:21	10:31	10:46	11:26	11:33	12:28	ﾚ	13:28	ﾚ	14:28	14:35	15:28	ﾚ	16:28	ﾚ	17:28	17:38	18:21	18:31	18:46	19:21	ﾚ	19:47	ﾚ	20:31	20:46	21:28	ﾚ	22:28	ﾚ	23:22																																																																																																
長山東1	54	長山東	発					6:39			ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:39	8:09	8:38	8:59	9:31	ﾚ	ﾚ	10:31	ﾚ	ﾚ	11:36	ﾚ	12:38	ﾚ	13:38	ﾚ	14:38	ﾚ	15:38	ﾚ	16:38	ﾚ	17:38	ﾚ	18:31	ﾚ	18:59	19:31	ﾚ	20:00	ﾚ	ﾚ	20:59	21:38	ﾚ	22:38	ﾚ	23:32																																																																																																
宝川0	55	宝川	着					6:47			7:58		8:28	8:50	9:03	9:28		9:50	10:04	10:28	10:50	11:04	11:30	12:00	12:28		13:00	13:28	14:00		14:28	15:00		15:28	16:00	16:28		17:00		17:28	18:00		18:28		18:50	19:03	19:28		19:50	20:03	20:28	20:50	21:03	21:28	22:03	22:28	23:03	23:58	7:47	8:17	8:46	9:07	9:39	9:46	10:01	10:39	10:46	11:01	11:44	11:48	12:46	12:50	13:46	13:53	14:46	14:50	15:46	15:53	16:46	16:50	17:46	17:53	18:39	18:46	19:07	19:39	19:46	20:08	20:25	20:46	21:07	21:46	21:53	22:46	22:53	23:40																																																																																																
宝川1	55	宝川	発					6:48			7:59		8:29	8:51	=	9:29		9:51	=	10:29	10:51	=	11:31	12:01	12:29		13:01	13:29	14:01		14:29	15:01		15:29	16:01	16:29		17:01		17:29	18:01		18:29		18:51	=	19:29		19:51	=	20:29	=	21:04	21:29	22:04	=	23:04	=	7:48	8:18		9:08			10:08			11:08														18:04			19:08			20:10																																																																																																								
清川1	56	清川	発					6:59			ﾚ		ﾚ	ﾚ		ﾚ		ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	12:40		ﾚ	13:40	ﾚ		14:40	ﾚ		15:40	ﾚ	16:40		ﾚ		17:40	ﾚ		ﾚ		ﾚ		ﾚ		ﾚ		ﾚ		ﾚ	21:40	ﾚ		23:15		7:59	8:29		9:19			10:19			11:19														18:15			19:19			20:21																																																																																																								
安川1	57	安川	発					7:10			ﾚ		ﾚ	ﾚ		ﾚ		ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	12:51		ﾚ	ﾚ	ﾚ		14:51	ﾚ		ﾚ	ﾚ	16:51		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ		ﾚ		ﾚ		ﾚ		ﾚ	21:51	ﾚ		23:26		8:10	8:40		9:30			10:30			11:30														18:26			19:30			20:32																																																																																																								
船尻0	58	船尻	着					7:21			8:25		8:55	9:17		9:55		10:17		10:55	11:17		11:57	12:27	13:02		13:27	13:59	14:27		15:02	15:27		15:59	16:27	17:02		17:27		17:59	18:27		18:55		19:17		19:55		20:17		20:55		21:30	22:02	22:30		23:37		8:21	8:51		9:41			10:41			11:41														18:37			19:41			20:43																																																																																																								
種別41							ささ	みや	つば		みや	ささ		みや		つば				みや			つば	みや				みや				みや	ささ		みや			みや	ささ		みや	つば			みや			ささ			みや				つば																																																																																																																																									
種別42								みや			みや			みや						みや				みや				みや				みや			みや			みや			みや				みや						みや																																																																																																																																													
両数40							6	11	6		11	6		11		6				11			6	11				11				11	6		11			11	6		11	6			11			6			11				6																																																																																																																																									
始発40							船尻	岩口	岩口		明島	船尻		明島		明島				明島			明島	明島				明島				明島	船尻		明島			明島	船尻		明島	明島			明島			船尻			明島				明島																																																																																																																																									
終着41							鶴原	鶴原	布坂		鶴原	鶴原		鶴原		布坂				鶴原			布坂	鶴原				鶴原				鶴原	鶴原		鶴原			鶴原	鶴原		鶴原	布坂			鶴原			鶴原			鶴原				布坂																																																																																																																																									
終着42								扇崎			扇崎			扇崎						扇崎				扇崎				扇崎				扇崎			扇崎			扇崎			扇崎				扇崎						扇崎																																																																																																																																													
船尻1	58	船尻	発				6:26	7:23	7:33		8:28	8:33		9:20		10:03				10:58			12:05	12:30				14:02				15:30	15:35		16:30			17:30	17:35		18:30	18:35			19:20			20:03			20:58				22:38																																																																																																																																									
海釜1	59	海釜	発				6:38	ﾚ	7:45		ﾚ	8:45		ﾚ		10:15				11:10			12:17	ﾚ				14:14				ﾚ	15:47		ﾚ			ﾚ	17:47		ﾚ	18:47			19:32			20:15			21:10				22:50																																																																																																																																									
沼内1	60	沼内	発				6:50	ﾚ	7:57		ﾚ	8:57		9:40		10:27				11:22			12:29	ﾚ				14:26				ﾚ	15:59		16:50			ﾚ	17:59		ﾚ	18:59			19:44			20:27			21:22				23:02																																																																																																																																									
村崎湖1	61	村崎湖	発				7:03	ﾚ	8:10		ﾚ	9:10		ﾚ		ﾚ				ﾚ			12:42	ﾚ				ﾚ				ﾚ	16:12		ﾚ			ﾚ	18:12		ﾚ	ﾚ			ﾚ			20:40			ﾚ				23:15																																																																																																																																									
取沢1	62	取沢	発				7:15	ﾚ	8:22		ﾚ	9:22		10:02		10:49				11:44			12:54	13:07				14:48				ﾚ	16:24		17:12			ﾚ	18:24		ﾚ	19:21			20:06			20:52			21:44				23:27																																																																																																																																									
布坂0	83	布坂	着				7:29	8:11	8:36		9:16	9:36		10:16		11:03				11:58			13:08	13:21				15:02				16:18	16:38		17:26			18:18	18:38		19:18	19:35			20:20			21:06			21:58				23:41																																																																																																																																									
布坂1	83	布坂	発				7:30	8:12	=		9:17	9:37		10:17		=				11:59			=	13:22				15:03				16:19	16:39		17:27			18:19	18:39		19:19	=			20:21			21:07			21:59				=																																																																																																																																									
本原海底1	84	本原海底	発				8:11	ﾚ			ﾚ	10:18		ﾚ						ﾚ				ﾚ				ﾚ				ﾚ	17:20		ﾚ			ﾚ	19:20		ﾚ				ﾚ			21:48			ﾚ																																																																																																																																													
池条上0	85	池条	着				8:22	9:01			10:06	10:29		11:06						12:48				14:11				15:52				17:08	17:31		18:16			19:08	19:31		20:08				21:10			21:59			22:48																																																																																																																																													
種別50				ささ	ささ	ささ	ささ	みや		ささ	みや	ささ		みや			ささ			みや				みや		ささ		みや		ささ		みや	ささ		みや		ささ	みや	ささ		みや			ささ	みや			ささ			みや																																																																																																																																													
両数50				10	10	10	4	3		10	3	4		3			10			3				3		10		3		10		3	4		3		10	3	4		3			10	3			4			3																																																																																																																																													
始発50				扇崎	扇崎	扇崎	扇崎	岩口		扇崎	明島	扇崎		明島			扇崎			明島				明島		扇崎		明島		扇崎		明島	扇崎		明島		扇崎	明島	扇崎		明島			扇崎	明島			扇崎			明島																																																																																																																																													
終着50				鶴原	鶴原	鶴原	鶴原	扇崎		鶴原	扇崎	鶴原		扇崎			鶴原			扇崎				扇崎		鶴原		扇崎		鶴原		扇崎	鶴原		扇崎		鶴原	扇崎	鶴原		扇崎			鶴原	扇崎			鶴原			扇崎																																																																																																																																													
池条上1	85	池条	発				||	9:07			10:17	||		11:12						12:54				14:20				15:58				17:17	||		18:22			19:14	||		20:14				21:16			||			22:54																																																																																																																																													
扇崎0	91	扇崎	着				||	9:24			10:34	||		11:29						13:11				14:37				16:15				17:34	||		18:39			19:31	||		20:31				21:33			||			23:11																																																																																																																																													
扇崎1	91	扇崎	発	6:01	6:51	7:33	8:10	||		9:19	||	10:17		||			11:42			||				||		14:21		||		16:00		||	17:19		||		18:20	||	19:19		||			20:32	||			21:47			||																																																																																																																																													
池条下0	85	池条	着	6:18	7:08	7:50	8:27	||		9:36	||	10:34		||			11:59			||				||		14:38		||		16:17		||	17:36		||		18:37	||	19:36		||			20:49	||			22:04			||																																																																																																																																													
種別61				ささ	ささ	ささ	ささ	みや		ささ	みや	ささ		みや			ささ			みや				みや		ささ		みや		ささ		みや	ささ		みや		ささ	みや	ささ		みや			ささ	みや			ささ			みや																																																																																																																																													
種別62							ささ					ささ																					ささ						ささ									ささ																																																																																																																																																
両数60				10	10	10	10	7		10	7	10		7			10			7				7		10		7		10		7	10		7		10	7	10		7			10	7			10			7																																																																																																																																													
始発61				扇崎	扇崎	扇崎	扇崎	岩口		扇崎	明島	扇崎		明島			扇崎			明島				明島		扇崎		明島		扇崎		明島	扇崎		明島		扇崎	明島	扇崎		明島			扇崎	明島			扇崎			明島																																																																																																																																													
始発62							船尻					船尻																					船尻						船尻									船尻																																																																																																																																																
終着60				鶴原	鶴原	鶴原	鶴原	鶴原		鶴原	鶴原	鶴原		鶴原			鶴原			鶴原				鶴原		鶴原		鶴原		鶴原		鶴原	鶴原		鶴原		鶴原	鶴原	鶴原		鶴原			鶴原	鶴原			鶴原			鶴原																																																																																																																																													
池条下1	85	池条	発	6:19	7:09	7:51	8:29	9:04		9:37	10:09	10:36		11:09			12:00			12:51				14:14		14:39		15:55		16:18		17:11	17:38		18:19		18:38	19:11	19:38		20:11			20:50	21:13			22:06			22:51																																																																																																																																													
巻場沢1	86	巻場沢	発	ﾚ	7:20	ﾚ	8:40	ﾚ		ﾚ	ﾚ	10:47		ﾚ			12:11			ﾚ				ﾚ		14:50		ﾚ		16:29		ﾚ	17:49		ﾚ		ﾚ	ﾚ	19:49		ﾚ			ﾚ	ﾚ			22:17			ﾚ																																																																																																																																													
舞津1	87	舞津	発	ﾚ	7:35	ﾚ	8:55	ﾚ		ﾚ	ﾚ	11:02		ﾚ			12:26			ﾚ				ﾚ		15:05		ﾚ		16:44		ﾚ	18:04		ﾚ		ﾚ	ﾚ	20:04		ﾚ			ﾚ	ﾚ			22:32			ﾚ																																																																																																																																													
笹森1	88	笹森	発	6:51	7:48	8:23	9:08	9:36		10:09	ﾚ	11:15		11:41			12:39			13:23				14:46		15:18		16:27		16:57		17:43	18:17		18:51		19:10	ﾚ	20:17		20:43			21:22	21:45			22:45			23:23																																																																																																																																													
橋田平1	89	橋田平	発	7:02	7:59	8:34	9:19	ﾚ		10:20	ﾚ	11:26		ﾚ			12:50			13:34				ﾚ		15:29		16:38		17:08		ﾚ	18:28		ﾚ		19:21	ﾚ	20:28		ﾚ			21:33	ﾚ			22:56			ﾚ																																																																																																																																													
鶴原0	90	鶴原	着	7:10	8:07	8:42	9:27	9:52		10:28	10:52	11:34		11:57			12:58			13:42				15:02		15:37		16:46		17:16		17:59	18:36		19:07		19:29	19:54	20:36		20:59			21:41	22:01			23:04			23:39																																																																																																																																													
(空行1)																																																																																																																																																																																																
橋掛下1	44	橋掛	発																																																																																																																														ﾚ	7:49	ﾚ	8:49	ﾚ	9:49	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	17:49	ﾚ	18:49	ﾚ	19:49	ﾚ	20:49	ﾚ	ﾚ			6:02	6:53	7:05	7:29	8:29	9:29	10:34	11:29	12:29	13:29	14:29	15:29	16:24	16:29	17:12	17:29	18:12	18:29	19:29	20:29	21:29	22:49	7:58	8:58	9:58	10:47	11:47	12:47	13:47	14:47	15:47	16:58	17:58	18:58	19:58	20:58	21:52	22:32	23:12
市見台1	68	市見台	発																																																																																																																														ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			6:13	ﾚ	ﾚ	7:40	8:40	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	16:40	ﾚ	17:40	ﾚ	18:40	19:40	ﾚ	ﾚ	ﾚ	8:09	9:09	10:09	10:58	11:58	12:58	13:58	14:58	15:58	17:09	18:09	19:09	20:09	21:09	22:03	22:43	23:23
鏡高原1	69	鏡高原	発																																																																																																																														ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			6:22	ﾚ	7:22	7:49	8:49	ﾚ	10:51	ﾚ	12:46	ﾚ	14:46	ﾚ	ﾚ	16:49	17:34	17:49	ﾚ	18:49	19:49	20:46	21:46	23:06	8:18	9:18	10:18	11:07	12:07	13:07	14:07	15:07	16:07	17:18	18:18	19:18	20:18	21:18	22:12	22:52	23:32
池ノ台1	70	池ノ台	発																																																																																																																														ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			6:32	ﾚ	7:32	7:59	8:59	9:52	ﾚ	11:52	ﾚ	13:52	ﾚ	15:52	ﾚ	16:59	ﾚ	17:59	18:40	18:59	19:59	20:56	ﾚ	ﾚ	8:28	9:28	10:28	11:17	12:17	13:17	14:17	15:17	16:17	17:28	18:28	19:28	20:28	21:28	22:22	23:02	23:42
松台1	71	松台	発																																																																																																																														ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			6:41	ﾚ	ﾚ	8:08	9:08	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	17:08	ﾚ	18:08	ﾚ	19:08	20:08	ﾚ	ﾚ	ﾚ	8:37	9:37	10:37	11:26	12:26	13:26	14:26	15:26	16:26	17:37	18:37	19:37	20:37	21:37	22:31	23:11	23:51
茂山0	72	茂山	着																																																																																																																														7:47	8:20	8:47	9:20	9:47	10:20	10:47	11:42	12:42	13:42	14:42	15:42	16:42	17:47	18:20	18:47	19:20	19:47	20:20	20:47	21:20	22:07	22:47			6:48	7:24	7:44	8:15	9:15	10:04	11:09	12:04	13:04	14:04	15:04	16:04	16:55	17:15	17:52	18:15	18:52	19:15	20:15	21:08	22:04	23:24	8:44	9:44	10:44	11:33	12:33	13:33	14:33	15:33	16:33	17:44	18:44	19:44	20:44	21:44	22:38	23:18	23:58
茂山1	72	茂山	発																																																																																																																														7:49	8:22	8:49	9:22	9:49	10:22	10:49	11:44	12:44	13:44	14:44	15:44	16:44	17:49	18:22	18:49	19:22	19:49	20:22	20:49	21:22	22:09	22:49		6:01	6:50	7:26	7:52	8:25	9:25	10:06	11:11	12:06	13:06	14:06	15:06	16:06	16:57	17:17	17:54	18:25	18:54	19:25	20:25	21:10	22:12	23:26	8:52			11:35			14:35										
新蛍山1	73	新蛍山	発																																																																																																																														ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:11	7:00	ﾚ	8:02	ﾚ	ﾚ	10:16	ﾚ	ﾚ	13:16	ﾚ	ﾚ	16:16	ﾚ	17:27	ﾚ	18:35	ﾚ	19:35	20:35	21:20	22:22	23:36	9:02			11:45			14:45										
湯加土1	74	湯加土	発																																																																																																																														ﾚ	ﾚ	ﾚ	ﾚ	10:06	ﾚ	ﾚ	ﾚ	13:01	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:21	7:10	7:43	8:12	8:42	9:42	10:26	11:28	12:23	13:26	14:23	15:23	16:26	17:14	17:37	18:11	18:45	19:11	19:45	20:45	21:30	22:32	23:46	9:11			11:54			14:54										
鳴谷0	75	鳴谷	着																																																																																																																														8:12	ﾚ	9:12	ﾚ	10:16	ﾚ	11:12	ﾚ	13:11	ﾚ	15:07	ﾚ	17:07	18:12	ﾚ	19:12	ﾚ	20:12	ﾚ	21:12	ﾚ	22:32	23:12		6:31	7:20	7:53	8:22	8:52	9:52	10:36	11:38	12:33	13:36	14:33	15:33	16:36	17:24	17:47	18:21	18:55	19:21	19:55	20:55	21:40	22:42	23:56	=			=			=										
鳴谷1	75	鳴谷	発																																																																																																																														8:13	ﾚ	9:13	ﾚ	10:17	ﾚ	11:13	ﾚ	13:12	ﾚ	15:08	ﾚ	17:08	18:13	ﾚ	19:13	ﾚ	20:13	ﾚ	21:13	ﾚ	22:33	23:13		6:32	7:21	7:54	8:23	8:53	9:53	10:45	11:39	12:34	13:37	14:34	15:34	16:37	17:25	17:48	18:22	18:56	=	19:56	20:56	21:45	22:43	=																	
境平1	76	境平	発																																																																																																																														ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:42	7:31	ﾚ	8:33	9:03	10:03	10:55	11:49	12:44	13:47	14:44	15:44	16:47	ﾚ	17:58	ﾚ	19:06		20:06	21:06	21:55	22:53																		
雁馬平1	77	雁馬平	発																																																																																																																														ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:52	7:41	ﾚ	8:43	ﾚ	10:13	ﾚ	11:59	ﾚ	13:57	ﾚ	15:54	16:57	ﾚ	18:08	ﾚ	19:16		20:16	ﾚ	22:05	23:03																		
師熊1	78	師熊	発																																																																																																																														ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		7:02	7:51	8:17	8:53	9:20	10:23	11:12	12:09	13:01	14:07	15:01	16:04	17:07	17:48	18:18	18:45	19:26		20:26	21:23	22:15	23:13																		
金里1	79	金里	発																																																																																																																														8:42	9:11	9:42	10:11	10:46	11:11	11:42	12:33	13:41	14:33	15:37	16:33	17:37	18:42	19:11	19:42	20:11	20:42	21:11	21:42	22:11	23:02	23:42	6:10	7:12	8:01	8:27	9:03	9:30	10:33	11:22	12:19	13:11	14:17	15:11	16:14	17:17	17:58	18:28	18:55	19:36		20:36	21:33	22:25	23:23																		
塩野0	80	塩野	着																																																																																																																														8:54	9:23	9:54	10:23	10:58	11:23	11:54	12:45	13:53	14:45	15:49	16:45	17:49	18:54	19:23	19:54	20:23	20:54	21:23	21:54	22:23	23:14	23:54	6:22	7:24	8:13	8:39	9:15	9:42	10:45	11:34	12:31	13:23	14:29	15:23	16:26	17:29	18:10	18:40	19:07	19:48		20:48	21:45	22:37	23:35																		
塩野1	80	塩野	発																																																																																																																														8:55	9:24	9:55	=	10:59	=	11:55	12:46	13:54	14:46	15:50	16:46	17:50	18:55	19:24	19:55	20:24	20:55	=	21:55	=	23:15	=	6:23	7:25	8:14	=	=	=	=	=	=	=	=	=	16:27	17:30	18:11	=	=	=		=	=	22:38	=																		
飯野1	81	飯野	発																																																																																																																														9:04	ﾚ	10:04		11:08		12:04	12:55	14:03	14:55	15:59	ﾚ	ﾚ	19:04	ﾚ	20:04	ﾚ	21:04		22:04		23:24		6:32	7:34	8:23										16:36	17:39	18:20							22:47																			
石鳥0	82	石鳥	着																																																																																																																														9:14	9:40	10:14		11:18		12:14	13:05	14:13	15:05	16:09	17:02	18:06	19:14	19:40	20:14	20:40	21:14		22:14		23:34		6:42	7:44	8:33										16:46	17:49	18:30							22:57																			
